Team,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Atlanta Hawks,81,38,43,19590,7212565,1366,728.1,637.9,4.2,4.55,3.85
Boston Celtics,82,25,57,19730,7198429,1363.3,731.1,632.3,4.15,4.41,3.89
Brooklyn Nets,81,43,38,19640,7003202,1326.4,703.8,622.6,4.07,4.29,3.85
Charlotte Bobcats,81,42,39,19665,7355966,1393.2,770.6,622.6,4.26,4.61,3.89
Chicago Bulls,82,48,34,19930,7362304,1394.4,765.1,629.2,4.21,4.47,3.93
Cleveland Cavaliers,82,33,49,19930,7533021,1426.7,761.5,665.2,4.31,4.63,3.98
Dallas Mavericks,82,49,33,19830,7223183,1368,732.1,635.9,4.15,4.41,3.89
Denver Nuggets,82,36,46,19755,7377090,1397.2,728.7,668.5,4.25,4.61,3.92
Detroit Pistons,82,29,53,19780,7181391,1360.1,712.9,647.2,4.13,4.34,3.93
Golden State Warriors,81.00,50.00,31.00,19590.00,7200543.00,1363.70,710.20,653.50,4.20,4.56,3.87
Houston Rockets,82,54,28,19830,7279967,1378.8,722.7,656.1,4.18,4.5,3.88
Indiana Pacers,82,56,26,19780,7063951,1337.9,715.9,622,4.07,4.25,3.87
Los Angeles Clippers,82,57,25,19755,7235369,1370.3,705.7,664.7,4.17,4.48,3.88
Los Angeles Lakers,82,27,55,19705,7407165,1402.9,730.5,672.4,4.28,4.61,3.97
Memphis Grizzlies,82,50,32,19805,7236279,1370.5,745.2,625.3,4.16,4.36,3.95
Miami Heat,82,54,28,19880,7184624,1360.7,704.8,655.9,4.11,4.3,3.93
Milwaukee Bucks,81,15,66,19640,7206719,1364.9,740.5,624.4,4.17,4.49,3.85
Minnesota Timberwolves,82,40,42,19855,7273211,1377.5,735.3,642.2,4.18,4.43,3.93
New Orleans Pelicans,82,34,48,19855,7384339,1398.5,762.3,636.3,4.24,4.58,3.89
New York Knicks,82,37,45,19855,7028482,1331.2,700.9,630.2,4.03,4.15,3.91
Oklahoma City Thunder,82,59,23,19805,7222374,1367.9,712.9,654.9,4.15,4.46,3.86
Orlando Magic,82,23,59,19955,7326210,1387.5,744.4,643.1,4.18,4.44,3.92
Philadelphia 76ers,82,19,63,19855,7663943,1451.5,749.6,701.9,4.4,4.78,4.05
Phoenix Suns,82,48,34,19755,7243706,1371.9,723.5,648.4,4.18,4.45,3.91
Portland Trail Blazers,82,54,28,19855,7458687,1412.6,764.9,647.7,4.28,4.58,3.97
Sacramento Kings,81,28,53,19590,7208070,1365.2,735,630.1,4.21,4.42,3.99
San Antonio Spurs,82,62,20,19755,7691792,1456.8,793.1,663.6,4.43,4.85,4.01
Toronto Raptors,81,47,34,19715,7197431,1363.1,738.5,624.7,4.16,4.38,3.93
Utah Jazz,82,25,57,19780,7347501,1391.6,765.4,626.1,4.23,4.45,3.99
Washington Wizards,81,44,37,19815,7275954,1378,724.4,653.7,4.18,4.44,3.93
