Season,Pace,Feet/Min
2024-25,98.9,391.6655
2023-24,98.5,389.56750000000005
2022-23,99.2,393.239
2021-22,98.2,387.99399999999997
2020-21,99.2,393.239
2019-20,100.3,399.00849999999997
2018-19,100.0,397.435
2017-18,97.3,383.2735
2016-17,96.0,376.455
2015-16,95.8,375.406
2014-15,93.9,365.44050000000004
2013-14,93.9,365.44050000000004
2012-13,92.0,355.475
2011-12,91.3,351.8035
2010-11,92.1,355.99949999999995
2009-10,92.7,359.1465
2008-09,91.7,353.9015
2007-08,92.4,357.57300000000004
2006-07,91.9,354.95050000000003
2005-06,90.5,347.6075
2004-05,90.9,349.70550000000003
2003-04,90.1,345.5095
2002-03,91.0,350.23
2001-02,90.7,348.65650000000005
2000-01,91.3,351.8035
1999-00,93.1,361.24449999999996
1998-99,88.9,339.2155
1997-98,90.3,346.5585
1996-97,90.1,345.5095
1995-96,91.8,354.426
1994-95,92.9,360.19550000000004
1993-94,95.1,371.73449999999997
1992-93,96.8,380.651
1991-92,96.6,379.602
1990-91,97.8,385.896
1989-90,98.3,388.51849999999996
1988-89,100.6,400.58199999999994
1987-88,99.6,395.33699999999993
1986-87,100.8,401.63100000000003
1985-86,102.1,408.4495
1984-85,102.1,408.4495
1983-84,101.4,404.7780000000001
1982-83,103.1,413.6945
1981-82,100.9,402.1555
1980-81,101.8,406.87600000000003
1979-80,103.1,413.6945
