Season,Pace,Feet/Min,Total Feet,Total Miles
2024-25,98.9,391.6655,959580.48,181.74
2023-24,98.5,389.56750000000005,954440.38,180.77
2022-23,99.2,393.239,963435.55,182.47
2021-22,98.2,387.994,950585.3,180.04
2020-21,99.2,393.239,963435.55,182.47
2019-20,100.3,399.0085,977570.82,185.15
2018-19,100.0,397.435,973715.75,184.42
2017-18,97.3,383.2735,939020.08,177.84
2016-17,96.0,376.455,922314.75,174.68
2015-16,95.8,375.406,919744.7,174.19
2014-15,93.9,365.4405,895329.22,169.57
2013-14,93.9,365.4405,895329.22,169.57
2012-13,92.0,355.475,870913.75,164.95
2011-12,91.3,351.8035,861918.58,163.24
2010-11,92.1,355.99949999999995,872198.77,165.19
2009-10,92.7,359.1465,879908.92,166.65
2008-09,91.7,353.9015,867058.68,164.22
2007-08,92.4,357.57300000000004,876053.85,165.92
2006-07,91.9,354.95050000000003,869628.73,164.7
2005-06,90.5,347.6075,851638.38,161.3
2004-05,90.9,349.70550000000003,856778.48,162.27
2003-04,90.1,345.5095,846498.28,160.32
2002-03,91.0,350.23,858063.5,162.51
2001-02,90.7,348.65650000000005,854208.42,161.78
2000-01,91.3,351.8035,861918.58,163.24
1999-00,93.1,361.2445,885049.02,167.62
1998-99,88.9,339.2155,831077.98,157.4
1997-98,90.3,346.5585,849068.32,160.81
1996-97,90.1,345.5095,846498.28,160.32
1995-96,91.8,354.426,868343.7,164.46
1994-95,92.9,360.19550000000004,882478.98,167.14
1993-94,95.1,371.7345,910749.52,172.49
1992-93,96.8,380.651,932594.95,176.63
1991-92,96.6,379.602,930024.9,176.14
1990-91,97.8,385.896,945445.2,179.06
1989-90,98.3,388.5185,951870.32,180.28
1988-89,100.6,400.58199999999994,981425.9,185.88
1987-88,99.6,395.33699999999993,968575.65,183.44
1986-87,100.8,401.631,983995.95,186.36
1985-86,102.1,408.4495,1000701.28,189.53
1984-85,102.1,408.4495,1000701.28,189.53
1983-84,101.4,404.7780000000001,991706.1,187.82
1982-83,103.1,413.6945,1013551.52,191.96
1981-82,100.9,402.1555,985280.98,186.61
1980-81,101.8,406.876,996846.2,188.8
1979-80,103.1,413.6945,1013551.52,191.96
